OBJECTID,COSEWICID,THREATS,SCI_NAME,COM_NAME_E,COM_NAME_F,TAXON_E,TAXON_F,SAR_STAT_E,SAR_STAT_F,SIGNIFICANCE TEXT,SIGNIFICANCE
59,636,Multiple Factors/Unknown,Rangifer tarandus,Woodland Caribou (Boreal population),Caribou des bois (Population boréale),Mammals,Mammifères,Threatened,Menacée,,1
60,1266,Multiple Factors/Unknown,Rangifer tarandus,Caribou (Central Mountain population),Caribou (Population des montagnes du centre),Mammals,Mammifères,Endangered,En voie de disparition,,1
61,638,Multiple Factors/Unknown,Rangifer tarandus,Woodland Caribou (Southern Mountain population),Caribou (Population des montagnes du Sud),Mammals,Mammifères,Endangered,En voie de disparition,,1
62,882,Habitat Loss,Sclerophora peronella,Frosted Glass-whiskers (Pacific population),Sclérophore givré (Population du Pacific),Lichens,Lichens,No Status,Aucun statut,,2
63,1200,Limited Habitat,Cicindela formosa gibsoni,Gibson's Big Sand Tiger Beetle,Cicindèle à grandes taches de Gibson,Arthropods,Arthropodes,Threatened,Menacée,,2
64,1241,Habitat Loss,Ammodramus savannarum pratensis,"Grasshopper Sparrow, pratensis subspecies",Bruant sauterelle de la sous–espèce de l’Est,Birds,Oiseaux,Special Concern,Préoccupante,,3
65,1232,Limited Habitat,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Psithyre bohémien,Arthropods,Arthropodes,Endangered,En voie de disparition,,2
67,1275,"Invasive & other Problematic Species, Genes & Diseases",Pinus flexilis,Limber Pine,Pin flexible,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,,1
68,1278,Climate Change and Severe Weather,Phalaropus lobatus,Red–necked Phalarope,Phalarope à bec étroit,Birds,Oiseaux,Special Concern,Préoccupante,,3
69,1224,Habitat Loss,Ambystoma mavortium,Western Tiger Salamander (Prairie / Boreal population),Salamandre tigrée de l’Ouest (Population des Prairies / Boréale),Amphibians,Amphibiens,Special Concern,Préoccupante,,2
70,1256,"Agricultural, Residential, Industrial",Bombus occidentalis mckayi,Western Bumble Bee mckayi subspecies,Bourdon de l'Ouest de la sous-espèce mckayi,Arthropods,Arthropodes,Special Concern,Préoccupante,,2
71,1267,"Agricultural, Residential, Industrial",Bombus occidentalis occidentalis,Western Bumble Bee occidentalis subspecies,Bourdon de l'Ouest de la sous-espèce occidentalis,Arthropods,Arthropodes,Threatened,Menacée,,2
72,1253,"Agricultural, Residential, Industrial",Aechmophorus occidentalis,Western Grebe,Grèbe élégant,Birds,Oiseaux,Special Concern,Préoccupante,,2
74,1215,"Invasive & other Problematic Species, Genes & Diseases",Anaxyrus boreas,Western Toad (Calling population),Crapaud de l'Ouest (Population chantante),Amphibians,Amphibiens,Special Concern,Préoccupante,,3
75,618,Biological Resource Use,Gulo gulo,Wolverine,Carcajou,Mammals,Mammifères,Special Concern,Préoccupante,,1
76,36,Habitat Loss,Ammodramus bairdii,Baird’s Sparrow,Bruant de Baird,Birds,Oiseaux,No Status,Aucun statut,,2
77,623,Habitat Loss,Taxidea taxus taxus,American Badger taxus subspecies,Blaireau d'Amérique de la sous-espèce taxus,Mammals,Mammifères,No Status,Aucun statut,,3
78,1045,Habitat Loss,Podiceps auritus,Horned Grebe (Western population),Grèbe esclavon (Population de l'Ouest),Birds,Oiseaux,No Status,Aucun statut,,2
79,1087,Habitat Loss,Dolichonyx oryzivorus,Bobolink,Goglu des prés,Birds,Oiseaux,No Status,Aucun statut,,3
