COSEWICID,SCI_NAME,COM_NAME_E,TAXON_E,SAR_STAT_E,SCHEDULE_E,DataSource,PA_Type,PA_Name,area_in_CA_m2,area_in_AB_m2,area_in_PA_m2
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,NA,Edgar T. Jones Natural Area,626042908763,97491572772,606166
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Edith Lake Provincial Recreation Area,7935504687439,662493790164,40320
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,WPP,Elbow-Sheep Wildland Provincial Park,7935504687439,662493790164,806659441
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Elbow Falls Provincial Recreation Area,7935504687439,662493790164,965819
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Elbow River Launch Provincial Recreation Area,7935504687439,662493790164,119518
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Elbow River Provincial Recreation Area,7935504687439,662493790164,2413895
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Elk Creek Fish Pond Provincial Recreation Area,7935504687439,662493790164,83012
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Elk Creek Provincial Recreation Area,7935504687439,662493790164,164525
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NP,Elk Island National Park of Canada,7935504687439,662493790164,195335801
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Elk River Provincial Recreation Area,7935504687439,662493790164,311621
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Emerson Creek Natural Area,7935504687439,662493790164,1948268
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Etherington Creek Provincial Recreation Area,7935504687439,662493790164,486073
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Evan-Thomas Provincial Recreation Area,7935504687439,662493790164,24478740
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Fairfax Lake Provincial Recreation Area,7935504687439,662493790164,1308203
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Fallen Timber Provincial Recreation Area,7935504687439,662493790164,31068
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Fallen Timber South Provincial Recreation Area,7935504687439,662493790164,471357
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Fawcett Lake Provincial Recreation Area,7935504687439,662493790164,469846
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Fickle Lake Provincial Recreation Area,7935504687439,662493790164,11573419
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Figure Eight Lake Provincial Recreation Area,7935504687439,662493790164,1282326
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Fish Creek Provincial Park,7935504687439,662493790164,13969628
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PP,Fish Creek Provincial Park,626042908763,97491572772,9081490
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Fish Lake Provincial Recreation Area,7935504687439,662493790164,4107851
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Fisher Creek Provincial Recreation Area,7935504687439,662493790164,109146
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Fitzsimmons Creek Provincial Recreation Area,7935504687439,662493790164,13783
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,WPP,Fort Assiniboine Sandhills Wildland Provincial Park,7935504687439,662493790164,81976866
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Franchere Bay Provincial Recreation Area,7935504687439,662493790164,213049
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Freeman River Provincial Recreation Area,7935504687439,662493790164,101354
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,French Bay Provincial Recreation Area,7935504687439,662493790164,4555586
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Gadsby Lake Natural Area,7935504687439,662493790164,650058
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Garner Lake Provincial Park,7935504687439,662493790164,681472
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Garner Orchid Fen Natural Area,7935504687439,662493790164,1668951
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Genesee Natural Area,7935504687439,662493790164,1813290
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,George Lake Natural Area,7935504687439,662493790164,1304358
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Ghost Airstrip Provincial Recreation Area,7935504687439,662493790164,1606444
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Ghost Reservoir Provincial Recreation Area,7935504687439,662493790164,253614
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,WA,Ghost River Wilderness Area,7935504687439,662493790164,153367150
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Glenbow Ranch Provincial Park,7935504687439,662493790164,14014293
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Gleniffer Reservoir Provincial Recreation Area,7935504687439,662493790164,1389457
